# VSM Evidence Workbench - Normalized Data Export
# Generated: 2026-04-30 20:57:01 UTC
# Source file: C:\Users\Administrator\OneDrive - Gannon University\Spring 2026\Senior Design\RigolDS0.csv
# Samples: 1000000
# CSV mode: preview_downsampled
# Note: Preview CSV downsampled to 50,000 rows for package size; metrics computed on full-resolution data.
# Sample rate: 10000000.0 Hz
#
ts,v_ab,v_an,v_bc,v_bn,v_ca,v_cn
0.00036000000000000615,-1.8251203,-0.3214723,2.862509,1.503648,-1.0373887000000002,-1.358861
0.0003620000000000012,-1.8251203,-0.3214723,2.942442,1.503648,-1.1173217,-1.438794
0.0003640000000000032,-1.9054884,-0.4018404,2.862509,1.503648,-0.9570206000000001,-1.358861
0.0003660000000000052,-1.8275775,-0.4822085,2.70423,1.345369,-0.8766525000000001,-1.358861
0.00036800000000000027,-1.7459803,-0.3214723,2.863302,1.424508,-1.1173217,-1.438794
0.00037000000000000227,-1.7447522000000002,-0.2411042,2.942442,1.503648,-1.1976898,-1.438794
0.00037200000000000427,-1.8263484,-0.4018404,2.863302,1.424508,-1.0369536,-1.438794
0.00037399999999999933,-1.7459803,-0.3214723,2.863302,1.424508,-1.1173217,-1.438794
0.00037600000000000133,-1.7459803,-0.3214723,2.863302,1.424508,-1.1173217,-1.438794
0.00037800000000000333,-1.7459803,-0.3214723,2.863302,1.424508,-1.1173217,-1.438794
0.00038000000000000533,-1.9067165000000001,-0.4822085,2.863302,1.424508,-0.9565854999999999,-1.438794
0.0003820000000000004,-1.8263484,-0.4018404,2.863302,1.424508,-1.0369536,-1.438794
0.0003840000000000024,-1.8263484,-0.4018404,2.863302,1.424508,-1.0369536,-1.438794
0.0003860000000000044,-1.8251203,-0.3214723,2.942442,1.503648,-1.1173217,-1.438794
0.00038799999999999946,-1.7447522000000002,-0.2411042,2.942442,1.503648,-1.1976898,-1.438794
0.00039000000000000146,-1.8251203,-0.3214723,2.942442,1.503648,-1.1173217,-1.438794
0.00039200000000000346,-1.7447522000000002,-0.2411042,2.862509,1.503648,-1.1177568,-1.358861
0.00039400000000000546,-1.8251203,-0.3214723,3.0223750000000003,1.503648,-1.1972547,-1.518727
0.0003960000000000005,-1.8226632,-0.1607362,2.940855,1.661927,-1.1181918,-1.278928
0.0003980000000000025,-1.8251203,-0.3214723,2.942442,1.503648,-1.1173217,-1.438794
0.0004000000000000045,-1.7459803,-0.3214723,2.943235,1.424508,-1.1972547,-1.518727
0.0004019999999999996,-1.8251203,-0.3214723,2.942442,1.503648,-1.1173217,-1.438794
0.0004040000000000016,-1.9054884,-0.4018404,2.942442,1.503648,-1.0369536,-1.438794
0.0004060000000000036,-1.8251203,-0.3214723,2.862509,1.503648,-1.0373887000000002,-1.358861
0.0004080000000000056,-1.8251203,-0.3214723,2.942442,1.503648,-1.1173217,-1.438794
0.00041000000000000064,-1.9054884,-0.4018404,2.942442,1.503648,-1.0369536,-1.438794
0.00041200000000000264,-1.8251203,-0.3214723,2.942442,1.503648,-1.1173217,-1.438794
0.00041400000000000464,-1.8263484,-0.4018404,2.863302,1.424508,-1.0369536,-1.438794
0.0004159999999999997,-1.8288065,-0.5625765,2.86489,1.26623,-1.0360835,-1.59866
0.0004180000000000017,-1.9054884,-0.4018404,2.862509,1.503648,-0.9570206000000001,-1.358861
0.0004200000000000037,-1.7459803,-0.3214723,2.943235,1.424508,-1.1972547,-1.518727
0.0004220000000000057,-1.8263484,-0.4018404,2.863302,1.424508,-1.0369536,-1.438794
0.00042400000000000077,-1.8263484,-0.4018404,2.7833690000000004,1.424508,-0.9570206000000001,-1.358861
0.00042600000000000277,-1.8275775,-0.4822085,2.784163,1.345369,-0.9565854999999999,-1.438794
0.00042800000000000477,-1.9067165000000001,-0.4822085,2.863302,1.424508,-0.9565854999999999,-1.438794
0.0004299999999999998,-1.9067165000000001,-0.4822085,2.7833690000000004,1.424508,-0.8766525000000001,-1.358861
0.0004320000000000018,-1.9858565000000001,-0.4822085,2.862509,1.503648,-0.8766525000000001,-1.358861
0.00043400000000000383,-1.9067165000000001,-0.4822085,2.7833690000000004,1.424508,-0.8766525000000001,-1.358861
0.00043600000000000583,-1.9067165000000001,-0.4822085,2.863302,1.424508,-0.9565854999999999,-1.438794
0.0004380000000000009,-1.9042592999999999,-0.3214723,2.941648,1.582787,-1.0373887000000002,-1.358861
0.0004400000000000029,-1.8251203,-0.3214723,2.942442,1.503648,-1.1173217,-1.438794
0.0004420000000000049,-1.8251203,-0.3214723,2.942442,1.503648,-1.1173217,-1.438794
0.00044399999999999995,-1.8251203,-0.3214723,2.942442,1.503648,-1.1173217,-1.438794
0.00044600000000000195,-1.9030312,-0.2411042,3.020788,1.661927,-1.1177568,-1.358861
0.00044800000000000395,-1.9054884,-0.4018404,2.942442,1.503648,-1.0369536,-1.438794
0.00045000000000000595,-1.7435231999999998,-0.1607362,2.941648,1.582787,-1.1981248,-1.358861
0.000452000000000001,-1.9054884,-0.4018404,2.862509,1.503648,-0.9570206000000001,-1.358861
0.000454000000000003,-1.9054884,-0.4018404,2.862509,1.503648,-0.9570206000000001,-1.358861
0.000456000000000005,-1.9054884,-0.4018404,2.862509,1.503648,-0.9570206000000001,-1.358861
0.0004580000000000001,-1.6643842000000002,-0.1607362,2.942442,1.503648,-1.2780578,-1.438794
0.0004600000000000021,-1.9846274,-0.4018404,2.941648,1.582787,-0.9570206000000001,-1.358861
0.0004620000000000041,-1.9054884,-0.4018404,2.862509,1.503648,-0.9570206000000001,-1.358861
